ticker,quarter,call_date,call_time_gmt,call_time_et,is_market_hours
PHG,Q1_2022,2022-01-12,08:00:00,03:00:00,0
ASML,Q1_2022,2022-01-19,14:00:00,09:00:00,0
ERIC,Q1_2022,2022-01-25,08:00:00,03:00:00,0
SAP,Q1_2022,2022-01-27,13:00:00,08:00:00,0
STM,Q1_2022,2022-01-27,08:30:00,03:30:00,0
NVS,Q1_2022,2022-02-02,13:00:00,08:00:00,0
RACE,Q1_2022,2022-02-02,14:00:00,09:00:00,0
SAN,Q1_2022,2022-02-02,09:00:00,04:00:00,0
ABB,Q1_2022,2022-02-03,09:00:00,04:00:00,0
BBVA,Q1_2022,2022-02-03,08:30:00,03:30:00,0
ING,Q1_2022,2022-02-03,13:00:00,08:00:00,0
NOK,Q1_2022,2022-02-03,09:30:00,04:30:00,0
SHEL,Q1_2022,2022-02-03,14:00:00,09:00:00,0
SNY,Q1_2022,2022-02-04,12:30:00,07:30:00,0
BP,Q1_2022,2022-02-08,09:00:00,04:00:00,0
EQNR,Q1_2022,2022-02-09,11:00:00,06:00:00,0
GSK,Q1_2022,2022-02-09,14:00:00,09:00:00,0
AZN,Q1_2022,2022-02-10,11:45:00,06:45:00,0
TTE,Q1_2022,2022-02-10,12:00:00,07:00:00,0
E,Q1_2022,2022-02-18,13:00:00,08:00:00,0
HSBC,Q1_2022,2022-02-22,14:00:00,09:00:00,0
RIO,Q1_2022,2022-02-23,08:30:00,03:30:00,0
TEF,Q1_2022,2022-02-24,09:00:00,04:00:00,0
ARGX,Q1_2022,2022-03-03,13:30:00,08:30:00,0
ERIC,Q2_2022,2022-04-14,07:00:00,03:00:00,0
ASML,Q2_2022,2022-04-20,13:00:00,09:00:00,0
ABB,Q2_2022,2022-04-21,08:00:00,04:00:00,0
SAP,Q2_2022,2022-04-22,12:00:00,08:00:00,0
PHG,Q2_2022,2022-04-25,08:00:00,04:00:00,0
HSBC,Q2_2022,2022-04-26,06:30:00,02:30:00,0
NVS,Q2_2022,2022-04-26,12:00:00,08:00:00,0
SAN,Q2_2022,2022-04-26,08:00:00,04:00:00,0
GSK,Q2_2022,2022-04-27,11:00:00,07:00:00,0
STM,Q2_2022,2022-04-27,07:30:00,03:30:00,0
NOK,Q2_2022,2022-04-28,08:30:00,04:30:00,0
SNY,Q2_2022,2022-04-28,12:30:00,08:30:00,0
TTE,Q2_2022,2022-04-28,10:00:00,06:00:00,0
AZN,Q2_2022,2022-04-29,10:45:00,06:45:00,0
BBVA,Q2_2022,2022-04-29,07:30:00,03:30:00,0
E,Q2_2022,2022-04-29,12:00:00,08:00:00,0
EQNR,Q2_2022,2022-05-04,09:30:00,05:30:00,0
RACE,Q2_2022,2022-05-04,13:00:00,09:00:00,0
ARGX,Q2_2022,2022-05-05,12:30:00,08:30:00,0
SHEL,Q2_2022,2022-05-05,13:00:00,09:00:00,0
ING,Q2_2022,2022-05-06,07:00:00,03:00:00,0
TEF,Q2_2022,2022-05-12,08:00:00,04:00:00,0
CFR,Q2_2022,2022-05-20,07:30:00,03:30:00,0
ERIC,Q3_2022,2022-07-14,07:00:00,03:00:00,0
NVS,Q3_2022,2022-07-19,12:00:00,08:00:00,0
ASML,Q3_2022,2022-07-20,13:00:00,09:00:00,0
ABB,Q3_2022,2022-07-21,08:00:00,04:00:00,0
NOK,Q3_2022,2022-07-21,08:30:00,04:30:00,0
SAP,Q3_2022,2022-07-21,12:00:00,08:00:00,0
PHG,Q3_2022,2022-07-25,08:00:00,04:00:00,0
EQNR,Q3_2022,2022-07-27,09:30:00,05:30:00,0
GSK,Q3_2022,2022-07-27,11:00:00,07:00:00,0
RIO,Q3_2022,2022-07-27,08:30:00,04:30:00,0
ARGX,Q3_2022,2022-07-28,12:30:00,08:30:00,0
SAN,Q3_2022,2022-07-28,08:00:00,04:00:00,0
SNY,Q3_2022,2022-07-28,12:30:00,08:30:00,0
STM,Q3_2022,2022-07-28,07:30:00,03:30:00,0
TEF,Q3_2022,2022-07-28,08:00:00,04:00:00,0
TTE,Q3_2022,2022-07-28,11:30:00,07:30:00,0
AZN,Q3_2022,2022-07-29,10:45:00,06:45:00,0
BBVA,Q3_2022,2022-07-29,07:30:00,03:30:00,0
E,Q3_2022,2022-07-29,12:00:00,08:00:00,0
HSBC,Q3_2022,2022-08-02,13:00:00,09:00:00,0
RACE,Q3_2022,2022-08-02,13:00:00,09:00:00,0
ING,Q3_2022,2022-08-04,07:00:00,03:00:00,0
ASML,Q4_2022,2022-10-19,13:00:00,09:00:00,0
ABB,Q4_2022,2022-10-20,08:00:00,04:00:00,0
ERIC,Q4_2022,2022-10-20,07:00:00,03:00:00,0
NOK,Q4_2022,2022-10-20,08:30:00,04:30:00,0
PHG,Q4_2022,2022-10-24,08:00:00,04:00:00,0
HSBC,Q4_2022,2022-10-25,07:30:00,03:30:00,0
SAP,Q4_2022,2022-10-25,12:00:00,08:00:00,0
SAN,Q4_2022,2022-10-26,08:00:00,04:00:00,0
ARGX,Q4_2022,2022-10-27,12:30:00,08:30:00,0
STM,Q4_2022,2022-10-27,07:30:00,03:30:00,0
TTE,Q4_2022,2022-10-27,11:30:00,07:30:00,0
BBVA,Q4_2022,2022-10-28,07:30:00,03:30:00,0
E,Q4_2022,2022-10-28,12:00:00,08:00:00,0
EQNR,Q4_2022,2022-10-28,09:30:00,05:30:00,0
SNY,Q4_2022,2022-10-28,12:30:00,08:30:00,0
GSK,Q4_2022,2022-11-02,12:00:00,08:00:00,0
RACE,Q4_2022,2022-11-02,14:00:00,10:00:00,0
ING,Q4_2022,2022-11-03,08:00:00,04:00:00,0
TEF,Q4_2022,2022-11-04,09:00:00,05:00:00,0
ERIC,Q1_2023,2023-01-20,08:00:00,03:00:00,0
ASML,Q1_2023,2023-01-25,14:00:00,09:00:00,0
NOK,Q1_2023,2023-01-26,09:30:00,04:30:00,0
SAP,Q1_2023,2023-01-26,13:00:00,08:00:00,0
STM,Q1_2023,2023-01-26,08:30:00,03:30:00,0
PHG,Q1_2023,2023-01-30,09:00:00,04:00:00,0
BBVA,Q1_2023,2023-02-01,08:30:00,03:30:00,0
GSK,Q1_2023,2023-02-01,11:00:00,06:00:00,0
NVS,Q1_2023,2023-02-01,13:00:00,08:00:00,0
ABB,Q1_2023,2023-02-02,09:00:00,04:00:00,0
ING,Q1_2023,2023-02-02,13:00:00,08:00:00,0
RACE,Q1_2023,2023-02-02,13:00:00,08:00:00,0
SAN,Q1_2023,2023-02-02,09:00:00,04:00:00,0
SHEL,Q1_2023,2023-02-02,12:00:00,07:00:00,0
SNY,Q1_2023,2023-02-03,13:00:00,08:00:00,0
EQNR,Q1_2023,2023-02-08,12:00:00,07:00:00,0
TTE,Q1_2023,2023-02-08,10:00:00,05:00:00,0
AZN,Q1_2023,2023-02-09,11:45:00,06:45:00,0
HSBC,Q1_2023,2023-02-21,08:30:00,03:30:00,0
RIO,Q1_2023,2023-02-22,08:30:00,03:30:00,0
TEF,Q1_2023,2023-02-23,09:00:00,04:00:00,0
ARGX,Q1_2023,2023-03-02,13:30:00,08:30:00,0
ERIC,Q2_2023,2023-04-18,07:00:00,03:00:00,0
ASML,Q2_2023,2023-04-19,13:00:00,09:00:00,0
NOK,Q2_2023,2023-04-20,08:30:00,04:30:00,0
SAP,Q2_2023,2023-04-21,12:00:00,08:00:00,0
PHG,Q2_2023,2023-04-24,08:00:00,04:00:00,0
ABB,Q2_2023,2023-04-25,08:00:00,04:00:00,0
NVS,Q2_2023,2023-04-25,12:00:00,08:00:00,0
SAN,Q2_2023,2023-04-25,08:00:00,04:00:00,0
AZN,Q2_2023,2023-04-27,10:45:00,06:45:00,0
BBVA,Q2_2023,2023-04-27,07:30:00,03:30:00,0
SNY,Q2_2023,2023-04-27,12:30:00,08:30:00,0
STM,Q2_2023,2023-04-27,07:30:00,03:30:00,0
TTE,Q2_2023,2023-04-27,11:30:00,07:30:00,0
E,Q2_2023,2023-04-28,12:00:00,08:00:00,0
BP,Q2_2023,2023-05-02,08:00:00,04:00:00,0
HSBC,Q2_2023,2023-05-02,06:30:00,02:30:00,0
ARGX,Q2_2023,2023-05-04,12:30:00,08:30:00,0
EQNR,Q2_2023,2023-05-04,09:30:00,05:30:00,0
RACE,Q2_2023,2023-05-04,13:00:00,09:00:00,0
SHEL,Q2_2023,2023-05-04,13:30:00,09:30:00,0
ING,Q2_2023,2023-05-11,07:00:00,03:00:00,0
TEF,Q2_2023,2023-05-11,08:00:00,04:00:00,0
CFR,Q2_2023,2023-05-12,07:30:00,03:30:00,0
ERIC,Q3_2023,2023-07-14,07:00:00,03:00:00,0
NVS,Q3_2023,2023-07-18,12:00:00,08:00:00,0
ASML,Q3_2023,2023-07-19,13:00:00,09:00:00,0
ABB,Q3_2023,2023-07-20,08:00:00,04:00:00,0
NOK,Q3_2023,2023-07-20,08:30:00,04:30:00,0
SAP,Q3_2023,2023-07-20,17:00:00,13:00:00,0
PHG,Q3_2023,2023-07-24,08:00:00,04:00:00,0
EQNR,Q3_2023,2023-07-26,09:30:00,05:30:00,0
GSK,Q3_2023,2023-07-26,11:00:00,07:00:00,0
RIO,Q3_2023,2023-07-26,08:30:00,04:30:00,0
SAN,Q3_2023,2023-07-26,08:00:00,04:00:00,0
ARGX,Q3_2023,2023-07-27,12:30:00,08:30:00,0
STM,Q3_2023,2023-07-27,07:30:00,03:30:00,0
TEF,Q3_2023,2023-07-27,08:00:00,04:00:00,0
TTE,Q3_2023,2023-07-27,10:00:00,06:00:00,0
AZN,Q3_2023,2023-07-28,10:45:00,06:45:00,0
BBVA,Q3_2023,2023-07-28,07:30:00,03:30:00,0
E,Q3_2023,2023-07-28,12:00:00,08:00:00,0
SNY,Q3_2023,2023-07-28,12:30:00,08:30:00,0
BP,Q3_2023,2023-08-01,08:00:00,04:00:00,0
RACE,Q3_2023,2023-08-02,13:00:00,09:00:00,0
ING,Q3_2023,2023-08-03,07:00:00,03:00:00,0
HSBC,Q3_2023,2023-09-05,14:30:00,10:30:00,0
ERIC,Q4_2023,2023-10-17,07:00:00,03:00:00,0
ABB,Q4_2023,2023-10-18,08:00:00,04:00:00,0
ASML,Q4_2023,2023-10-18,13:00:00,09:00:00,0
SAP,Q4_2023,2023-10-18,21:00:00,17:00:00,0
NOK,Q4_2023,2023-10-19,08:30:00,04:30:00,0
PHG,Q4_2023,2023-10-23,08:00:00,04:00:00,0
NVS,Q4_2023,2023-10-24,12:00:00,08:00:00,0
SAN,Q4_2023,2023-10-25,08:00:00,04:00:00,0
STM,Q4_2023,2023-10-26,07:30:00,03:30:00,0
TTE,Q4_2023,2023-10-26,11:30:00,07:30:00,0
E,Q4_2023,2023-10-27,12:00:00,08:00:00,0
SNY,Q4_2023,2023-10-27,12:30:00,08:30:00,0
HSBC,Q4_2023,2023-10-30,07:45:00,03:45:00,0
ARGX,Q4_2023,2023-10-31,12:30:00,08:30:00,0
BBVA,Q4_2023,2023-10-31,08:30:00,04:30:00,0
BP,Q4_2023,2023-10-31,09:00:00,05:00:00,0
GSK,Q4_2023,2023-11-01,12:00:00,08:00:00,0
ING,Q4_2023,2023-11-02,08:00:00,04:00:00,0
RACE,Q4_2023,2023-11-02,14:00:00,10:00:00,0
SHEL,Q4_2023,2023-11-02,14:30:00,10:30:00,0
AZN,Q4_2023,2023-11-09,14:00:00,09:00:00,0
CFR,Q4_2023,2023-11-10,08:30:00,03:30:00,0
