permno,permco,date,ticker,cusip,company_name,exchcd,siccd,prc,shrout,vol,market_cap_millions,ret,bid,ask,exchange_name,market_cap_billions,sector,spread_pct,volatility_60d,volatility_quintile,sample_id,avg_volume,avg_spread_pct,exchange,replaces,criteria_met
17144,20798.0,2022-09-01,GIS,37033410,GENERAL MILLS INC,1.0,2099.0,77.16,597158.0,2695111.0,46076.71128,0.004688,77.13,77.14,NYSE,46.076711280000005,Manufacturing,0.0129642833992417,0.1985590797854949,Q1_Sleepy,1,,,,,
79103,12097.0,2022-09-01,ORLY,67103H10,O REILLY AUTOMOTIVE INC NEW,3.0,5531.0,706.46997,63318.0,363156.0,44732.26556046,0.013412,706.15997,706.5,NASDAQ,44.73226556046,Retail Trade,0.0481403886598352,0.201577811067539,Q1_Sleepy,2,,,,,
13721,54287.0,2022-09-01,ABBV,00287Y10,ABBVIE INC,1.0,2834.0,138.45,1768096.0,4521000.0,244792.8912,0.029674,138.45,138.46001,NYSE,244.7928912,Manufacturing,0.0072297855899268,0.21503000679511,Q1_Sleepy,3,,,,,
56274,,,CAG,,CONAGRA BRANDS INC,,,,,,,,,,,16.485540399999998,Manufacturing,,0.2269128602345914,Q1_Sleepy,4,3501911.0,1.8,NYQ,TBD,
23931,,,XEL,,X C E L ENERGY INC,,,,,,,,,,,41.25406122,Transportation/Utilities,,0.235223059569594,Q1_Sleepy,5,2524041.0,1.82,NMS,TBD,
85741,,,HOPE,,HOPE BANCORP INC,,,,,,,,,,,1.7073120399999997,Finance/Insurance/Real Estate,,0.2402602194156968,Q1_Sleepy,6,636139.0,1.93,NMS,TBD,
75828,,,EA,,ELECTRONIC ARTS INC,,,,,,,,,,,35.5007856,Services,,0.242413999735052,Q1_Sleepy,7,1782995.0,1.96,NMS,TBD,
15720,21543.0,2022-09-01,EIX,28102010,EDISON INTERNATIONAL,1.0,4911.0,68.27,381432.0,1695142.0,26040.36264,0.007378,68.26,68.27,NYSE,26.040362639999994,Transportation/Utilities,0.0146487951365866,0.2781659659712783,Q1_Sleepy,8,,,,,
52978,,,HAS,,HASBRO INC,,,,,,,,,,,10.94233084,Manufacturing,,0.2865411630346644,Q2,9,1086086.0,2.42,NMS,TBD,
13963,54433.0,2022-09-01,NWSA,65249B10,NEWS CORP NEW,3.0,9999.0,16.92,385598.0,2234931.0,6524.318160000001,0.0,16.91,16.92,NASDAQ,6.524318160000001,Public Administration,0.0591191250369586,0.2891736751352087,Q2,10,,,,,
16087,,,FTV,,FORTIVE CORP,,,,,,,,,,,22.50494919,Manufacturing,,0.2923128675875595,Q2,11,2248265.0,1.88,NYQ,TBD,
79906,30033.0,2022-09-01,INCY,45337C10,INCYTE CORP,3.0,8731.0,71.35,222431.0,930506.0,15870.45185,0.013063,71.35,71.36,NASDAQ,15.87045185,Services,0.0140144348679211,0.3057548817558816,Q2,12,,,,,
83534,14659.0,2022-09-01,NBIX,64125C10,NEUROCRINE BIOSCIENCES INC,3.0,8730.0,105.63,95639.0,590629.0,10102.34757,0.009557,105.6,105.63,NASDAQ,10.10234757,Services,0.0284050560999868,0.3320816025833419,Q2,13,,,,,
27887,20277.0,2022-09-01,BAX,07181310,BAXTER INTERNATIONAL INC,1.0,3841.0,56.76,503611.0,4455026.0,28584.96036,-0.007135,56.75,56.76,NYSE,28.58496036,Manufacturing,0.0176195929873984,0.3387615689104239,Q2,14,,,,,
49680,20557.0,2022-09-01,DHR,23585110,DANAHER CORP,1.0,3829.0,273.85999,727445.0,1944152.0,199218.08042555,0.014634,273.82001,273.89001,NYSE,199.21808042555,Manufacturing,0.0255609711138726,0.3408879293876554,Q2,15,,,,,
40272,20991.0,2022-09-01,IFF,45950610,INTERNATIONAL FLAVORS & FRAG INC,1.0,2869.0,108.64,254947.0,1312070.0,27697.44208,-0.016655,108.64,108.65,NYSE,27.69744208,Manufacturing,0.0092042891987713,0.3414700311280264,Q2,16,,,,,
84761,15436.0,2022-09-01,TTWO,87405410,TAKE TWO INTERACTIVE SOFTWR INC,3.0,7370.0,120.72,166691.0,1347186.0,20122.93752,-0.015013,120.69,120.72,NASDAQ,20.12293752,Services,0.0248539828507527,0.3499065518621634,Q3,17,,,,,
58683,4181.0,2022-09-01,LUV,84474110,SOUTHWEST AIRLINES CO,1.0,4512.0,36.63,593350.0,3932312.0,21734.4105,-0.001907,36.63,36.64,NYSE,21.734410500000003,Transportation/Utilities,0.0272963013511614,0.3718013093288783,Q3,18,,,,,
80167,,,HAIN,,HAIN CELESTIAL GROUP INC,,,,,,,,,,,1.76990618,Manufacturing,,0.395657571057549,Q3,19,1062400.0,3.41,NMS,TBD,
76712,,,AES,,A E S CORP,,,,,,,,,,,17.266093900000005,Transportation/Utilities,,0.4017151658169405,Q3,20,4807288.0,2.59,NYQ,TBD,
70033,20881.0,2022-09-01,HOG,41282210,HARLEY DAVIDSON INC,1.0,3751.0,38.23,146162.0,959467.0,5587.77326,-0.008815,38.22,38.23,NYSE,5.58777326,Manufacturing,0.0261608894702367,0.4123515493068407,Q3,21,,,,,
78975,12011.0,2022-09-01,INTU,46120210,INTUIT INC,3.0,7370.0,425.5,281870.0,1962590.0,119935.685,-0.014544,425.5,425.51001,NASDAQ,119.935685,Services,0.0023524987679104,0.4268760493240546,Q3,22,,,,,
71175,,,UNM,,UNUM GROUP,,,,,,,,,,,7.581999999999999,Finance/Insurance/Real Estate,,0.4313588731132982,Q3,23,1524462.0,2.47,NYQ,TBD,
77496,11446.0,2022-09-01,MHK,60819010,MOHAWK INDUSTRIES INC,1.0,3253.0,108.06,63534.0,491195.0,6865.48404,-0.020841,108.05,108.06,NYSE,6.86548404,Manufacturing,0.0092545462958725,0.4347529033433935,Q3,24,,,,,
49015,,,LNC,,LINCOLN NATIONAL CORP,,,,,,,,,,,7.8389073,Finance/Insurance/Real Estate,,0.4496448300174956,Q4,25,1634358.0,2.98,NYQ,TBD,
88281,37660.0,2022-09-01,CRL,15986410,CHARLES RIVER LABS INTL INC,1.0,8734.0,203.24001,50863.0,592740.0,10337.396628630002,-0.009793,203.24001,203.32001,NYSE,10.33739662863,Services,0.0393545828731433,0.4513049282865513,Q4,26,,,,,
19561,20315.0,2022-09-01,BA,09702310,BOEING CO,1.0,3721.0,153.66,593811.0,7651999.0,91244.99826,-0.041123,153.71001,153.72,NYSE,91.24499826,Manufacturing,0.0064990402205612,0.4797017019409231,Q4,27,,,,,
89215,,,AMN,,A M N HEALTHCARE SERVICES INC,,,,,,,,,,,4.36408205,Services,,0.5110943580995282,Q4,28,686916.0,4.46,NYQ,TBD,
13983,54444.0,2022-09-01,COTY,22207020,COTY INC,1.0,2844.0,7.47,839109.0,5991704.0,6268.14423,-0.005326,7.46,7.47,NYSE,6.26814423,Manufacturing,0.1339584728734064,0.5171405072953222,Q4,29,,,,,
14759,54929.0,2022-09-01,WMS,00790R10,ADVANCED DRAINAGE SYSTEMS INC,1.0,3084.0,133.0,83571.0,705147.0,11114.943,-0.019897,133.14999,133.16,NYSE,11.114942999999998,Manufacturing,0.007517555011732,0.5381268515636409,Q4,30,,,,,
17944,56441.0,2022-09-01,TENB,88025T10,TENABLE HOLDINGS INC,3.0,9999.0,37.19,111644.0,1274216.0,4152.04036,-0.061096,37.17,37.19,NASDAQ,4.15204036,Public Administration,0.0537923614846584,0.5954402018807402,Q4,31,,,,,
27422,,,CLF,,CLEVELAND CLIFFS INC NEW,,,,,,,,,,,8.59231978,Mining,,0.5976700206955434,Q4,32,14637613.0,4.56,NYQ,TBD,
21957,,,RELY,,REMITLY GLOBAL INC,,,,,,,,,,,1.8013888,Public Administration,,0.6251729347378895,Q5_Fragile,33,881553.0,5.61,NMS,TBD,relaxed
17341,,,ZS,,ZSCALER INC,,,,,,,,,,,20.82408107052,Public Administration,,0.6364354777408754,Q5_Fragile,34,1892432.0,4.93,NMS,TBD,
13687,54265.0,2022-09-01,RH,74967X10,R H,1.0,5712.0,252.71001,24681.0,576784.0,6237.13575681,-0.012504,253.06,253.07001,NYSE,6.23713575681,Retail Trade,0.0039555054243845,0.6445262813315855,Q5_Fragile,35,,,,,
19433,57062.0,2022-09-01,MP,55336810,M P MATERIALS CORP,1.0,6531.0,32.31,177534.0,3087136.0,5736.12354,-0.076593,32.3,32.31,NYSE,5.73612354,Finance/Insurance/Real Estate,0.0309549605324411,0.6549790525632623,Q5_Fragile,36,,,,,
18145,,,YETI,,YETI HOLDINGS INC,,,,,,,,,,,3.1471475200000003,Manufacturing,,0.6777342943823457,Q5_Fragile,37,1266934.0,4.49,NYQ,TBD,
15291,,,ETSY,,ETSY INC,,,,,,,,,,,13.43701317,Public Administration,,0.6891339018929242,Q5_Fragile,38,3729072.0,5.21,NYQ,TBD,relaxed
21564,,,LZ,,LEGALZOOM COM INC,,,,,,,,,,,1.96310031,Public Administration,,0.7086110907154847,Q5_Fragile,39,1254700.0,5.3,NMS,TBD,relaxed
89301,,,GME,,GAMESTOP CORP NEW,,,,,,,,,,,8.41377708,Retail Trade,,0.796521007064922,Q5_Fragile,40,8748276.0,7.15,NYQ,TBD,relaxed
